syscall_nr,name,status,notes
157,prctl,implemented,"Options honored: `PR_{SET,GET}_NAME`, `PR_{SET,GET}_NO_NEW_PRIVS`, `PR_{SET,GET}_SECCOMP`, `PR_CAPBSET_READ`/`_DROP`, `PR_{SET,GET}_KEEPCAPS`, `PR_{SET,GET}_DUMPABLE`. `PR_{SET,GET}_CHILD_SUBREAPER` + `PR_{SET,GET}_PDEATHSIG` are now real — `exit_current` runs `handle_dying_children` which (1) for each child with `pdeathsig` set, posts that signal to the child; (2) reparents each child by walking the dying task's parent chain looking for the nearest live ancestor with `child_subreaper.load() == true`, falling back to pid 1. Anything else: `-EINVAL`."
158,arch_prctl,implemented,"`ARCH_SET_FS` writes `IA32_FS_BASE` MSR + records on `Process`; `ARCH_GET_FS` reads back. The scheduler restores `proc.fs_base` to the MSR on every task switch (`switch_to_pid`), so per-process TLS survives context switches. GS reserved for kernel per-CPU storage — `ARCH_SET_GS` / `ARCH_GET_GS` return EINVAL."
159,adjtimex,implemented,"Reads/writes the 184-byte `struct timex`. `modes==0`: pure read (no permission check); fills `time` with current wall clock, `tick=10000` (100Hz), `precision=1`. `modes!=0`: requires euid==0 (CAP_SYS_TIME). `ADJ_SETOFFSET` applies a one-shot offset jump to `frame::cpu::clock`'s `WALL_CLOCK_OFFSET_NS`. `ADJ_NANO` modifier honored (interpret `time.tv_*` as nsec vs default usec). Other NTP-slewing modes (ADJ_OFFSET / FREQUENCY / MAXERROR / ESTERROR / STATUS / TIMECONST / TICK) are accepted-with-EPERM-gate but don't apply slewing — pvclock owns wall time, kernel TSC owns monotonic, no NTP daemon needed. Returns TIME_OK (0)."
160,setrlimit,implemented,"Wraps `prlimit64(self, resource, new_rlim, NULL)`. The full credential / hardness checks already live in prlimit64; this is the legacy single-process variant."
161,chroot,implemented,Per-process root override. `Process::fs_root` set via `sched::set_current_fs_root`; consulted by `vfs::path::Context::current()` at every `resolve` call. Inherited across fork; preserved across execve. No capability check (single-user kernel; CAP_SYS_CHROOT is the documented requirement).
162,sync,implemented,No-op success.
163,acct,out-of-scope,`-EPERM`. BSD process accounting requires CAP_SYS_PACCT and a designated accounting file; we don't model the subsystem. The documented ABI returns -EPERM before doing anything when the cap check fails.
164,settimeofday,implemented,Wraps `frame::cpu::clock::set_wall_clock_target`. CAP_SYS_TIME (= euid==0) required; -EPERM otherwise. `tz` ignored (deprecated). NULL `tv` → 0. Validates usec range.
165,mount,implemented,"tmpfs + cgroup2 + proc + sys + ext4 (loopback). Mount table per-process + per-mount-ns. MS_REMOUNT, MS_BIND, MS_MOVE, propagation flags (PRIVATE/SHARED/SLAVE/UNBINDABLE) all real. Fs types not in our table reject with ENODEV — the documented behavior for absent fs types."
166,umount2,implemented,Removes mount table entry for the target dir's inode_id.
167,swapon,missing,In scope; the swap subsystem is planned after v0.0.1. Returns -ENOSYS (not yet implemented) until then.
168,swapoff,missing,"Same as swapon (#167): in scope, planned after v0.0.1, -ENOSYS until built."
169,reboot,implemented,Magic1/magic2 handshake validated; CAP_SYS_BOOT gated. CAD_OFF/CAD_ON return 0. HALT/POWER_OFF/RESTART halt the VM via `frame::io::qemu_exit::exit(Success)` (the same shutdown the test harness uses).
170,sethostname,implemented,Per-process UTS namespace. Writes go to the calling proc's UTS ns. CAP_SYS_ADMIN gate.
171,setdomainname,implemented,Same shape as sethostname.
172,iopl,out-of-scope,OUT-OF-SCOPE: ring0 unsafe. `-EPERM`. Direct port-I/O privilege; this is a VM kernel and doesn't grant ring-3 port access. The ABI returns -EPERM without CAP_SYS_RAWIO.
173,ioperm,out-of-scope,OUT-OF-SCOPE: ring0 unsafe. Same as `iopl` (#172).
174,create_module,dead,DEAD: removed; returns `-ENOSYS`. Module-loading API.
175,init_module,out-of-scope,OUT-OF-SCOPE: ring0 unsafe. `-ENOSYS`. We don't support loadable kernel modules.
176,delete_module,out-of-scope,OUT-OF-SCOPE: ring0 unsafe. `-ENOSYS`. Same as `init_module` (#175).
177,get_kernel_syms,dead,DEAD: removed; returns `-ENOSYS`.
178,query_module,dead,DEAD: removed; returns `-ENOSYS`.
179,quotactl,missing,
180,nfsservctl,dead,DEAD: removed; returns `-ENOSYS`.
181,getpmsg,dead,"DEAD: reserved syscall slot, never implemented; returns `-ENOSYS`."
182,putpmsg,dead,"DEAD: reserved syscall slot, never implemented; returns `-ENOSYS`. Same as `getpmsg` (#181)."
183,afs_syscall,dead,"DEAD: reserved syscall slot, never implemented; returns `-ENOSYS`."
184,tuxcall,dead,"DEAD: reserved syscall slot, never implemented; returns `-ENOSYS`."
185,security,dead,"DEAD: reserved syscall slot, never implemented; returns `-ENOSYS`."
186,gettid,implemented,Returns `current_pid()` (the per-task TID). For processes that haven't done CLONE_THREAD this equals tgid (and `getpid()`); for thread peers it differs. Translated to caller's pid_ns view.
187,readahead,implemented,"Validates fd is a regular file (-EINVAL otherwise), returns 0. POSIX hint to populate the page cache; we don't yet do active prefetch. The ABI returns 0 even when the underlying fs/cache decides not to read ahead, so this matches semantics."
188,setxattr,implemented,Per-inode xattr table on tmpfs. Honors XATTR_CREATE / XATTR_REPLACE.
189,lsetxattr,implemented,
190,fsetxattr,implemented,
191,getxattr,implemented,Size-probe shape (`size==0`) returns the value's length without copying. Returns `ERANGE` on undersized buf.
192,lgetxattr,implemented,
193,fgetxattr,implemented,
194,listxattr,implemented,"NUL-separated, NUL-terminated name list. Size probe shape supported."
195,llistxattr,implemented,
196,flistxattr,implemented,
197,removexattr,implemented,
198,lremovexattr,implemented,
199,fremovexattr,implemented,
200,tkill,implemented,Legacy single-thread kill. tid arg → host pid via caller's pid_ns; `send_signal_with_info` with SI_TKILL; sender pid encoded in target's pid_ns view.
201,time,implemented,Returns `wall_clock_nanos / 1e9`; writes the same value through `t_ptr` if non-NULL.
202,futex,implemented,"`FUTEX_WAIT` / `WAKE`, `WAIT_BITSET` / `WAKE_BITSET` / `REQUEUE` / `CMP_REQUEUE` / `WAKE_OP`. Real timeouts via `kernel::timeout` deadline-park — `FUTEX_WAIT` with non-NULL `timespec` returns `-ETIMEDOUT` when the deadline fires before a wake. Key is `(vmspace_id, vaddr)`. Signal-interruptible (returns `-EINTR`). `VmSpace::Drop` sweeps dead-vmspace entries. `FUTEX_LOCK_PI` (#6) / `FUTEX_UNLOCK_PI` (#7) / `FUTEX_TRYLOCK_PI` (#8) / `FUTEX_LOCK_PI2` (#13). Real PI mutex with priority-boost via temporary class swap, chain walk through `pi_blocked_on` bounded by `MAX_PI_CHAIN_DEPTH = 16` (cycle → `-EDEADLK`), atomic `cmpxchg_user_u32` + `atomic_or_user_u32` (lock-prefixed x86 asm in `frame::user`) to maintain TID + `FUTEX_WAITERS` + `FUTEX_OWNER_DIED` bits in lockstep with userland's fastpath CAS. Owner-died on `exit_current` sets the bit + wakes the top waiter for userland's robust-mutex recovery. Self-deadlock check returns `-EDEADLK`. `FUTEX_TID_MASK` carries ns-local pid (matches gettid). Pid translation at the user-memory boundary. `FUTEX_WAIT_REQUEUE_PI` (#11) / `FUTEX_CMP_REQUEUE_PI` (#12) — PI condvars (pthread_cond_t + PRIO_INHERIT mutex). `wait_requeue_pi` parks on the condvar's address with `pi_blocked_on=Some(mutex_key)`; `cmp_requeue_pi` wakes one (transferring mutex ownership), requeues rest onto the mutex's PI tree. proc_pi_futex test verifies all six round-trips."
203,sched_setaffinity,implemented,"Accept-noop, the documented ""hint not a contract"" semantic. The scheduler picks `home_cpu` at task spawn and round-robins; explicit CPU pinning would need cpuset-cgroup support. Conformant per `man 2 sched_setaffinity`: kernels that don't honor the hint must still accept the call."
204,sched_getaffinity,implemented,Returns a `MAX_CPUS`-bit mask of all online CPUs. The advertised mask is honest given that we don't restrict CPU placement.
205,set_thread_area,out-of-scope,"OUT-OF-SCOPE: 32-bit not supported. Returns -ENOSYS — the canonical x86_64 answer. This is i386's TLS API (writes a GDT entry); on x86_64 the equivalent is `arch_prctl(ARCH_SET_FS, addr)`. The x86_64 ABI returns -ENOSYS here."
206,io_setup,missing,
207,io_destroy,missing,
208,io_getevents,missing,
209,io_submit,missing,
210,io_cancel,missing,
211,get_thread_area,out-of-scope,"OUT-OF-SCOPE: 32-bit not supported. Same as `set_thread_area` (#205) — returns -ENOSYS, x86_64-canonical."
212,lookup_dcookie,dead,DEAD: removed; returns `-ENOSYS`. The binary dcookie API.
213,epoll_create,implemented,Wraps `epoll_create1(0)`. The legacy `size` arg is ignored — kept only for ABI compat. We reject `size <= 0` (-EINVAL) per the legacy ABI.
214,epoll_ctl_old,dead,"DEAD: reserved syscall slot, never implemented; returns `-ENOSYS`."
215,epoll_wait_old,dead,"DEAD: reserved syscall slot, never implemented; returns `-ENOSYS`. Same as `epoll_ctl_old` (#214)."
216,remap_file_pages,missing,
217,getdents64,implemented,
218,set_tid_address,implemented,"Stores user pointer; returns calling tid. At process exit, `kernel::futex::clear_child_tid` writes 0 to the registered address and wakes one waiter (a userland `pthread_join` uses this to detect thread death). Return value is in caller's pid_ns."
219,restart_syscall,dead,`-ENOSYS`. Internal kernel mechanism for SA_RESTART signal handling — userspace shouldn't call this directly. The ABI returns -ENOSYS to userspace callers; the actual restart logic happens kernel-side via tail-call.
220,semtimedop,missing,
221,fadvise64,implemented,Accept and ignore. fadvise is advisory and a no-op for `POSIX_FADV_NORMAL` / `RANDOM` / `SEQUENTIAL` / `NOREUSE`; `WILLNEED` would benefit from readahead we don't have; `DONTNEED` already happens on close via the page cache.
222,timer_create,implemented,"Per-process `timer_t` table (`Process.timers`). Accepts CLOCK_REALTIME / CLOCK_MONOTONIC / CLOCK_MONOTONIC_RAW / CLOCK_BOOTTIME. Parses `struct sigevent`: SIGEV_SIGNAL (queued signal), SIGEV_NONE (counts, no delivery), SIGEV_THREAD (treated as SIGEV_SIGNAL — the helper-thread is a userspace librt detail), SIGEV_THREAD_ID (validates the target thread). Returns an allocated `timer_t` to `timer_id`. NULL `sevp` defaults to SIGALRM."
223,timer_settime,implemented,"Arm/disarm door (cancel-then-register on `timeout::register_callback`, keyed per-timer). Reads `struct itimerspec` (initial + interval); `it_value==0` disarms. TIMER_ABSTIME converts the absolute deadline against the timer's clock. Returns the prior interval + remaining in `old_value`. Resets overrun on re-arm."
224,timer_gettime,implemented,Reads the timer's interval and remaining time until the next expiry into `struct itimerspec`; reports zeros when disarmed.
225,timer_getoverrun,implemented,Returns the overrun count of the most recently delivered expiry (missed periods since the last delivery); reset each delivery.
226,timer_delete,implemented,Disarms (cancels the pending callback) and frees the `timer_t` slot. Cleared en masse on execve and process exit.
227,clock_settime,implemented,"Accepts CLOCK_REALTIME / CLOCK_REALTIME_COARSE (operator-installed offset). MONOTONIC* and CPU-time clocks return -EINVAL (monotonic can't be set, CPU clocks are read-only). Computes target_ns = sec * 1e9 + nsec; calls `set_wall_clock_target`. CAP_SYS_TIME (= euid==0) required."
228,clock_gettime,implemented,"TSC frequency calibrated from KVM pvclock or CPUID 0x15/0x16 at boot (`frame::cpu::clock::init`). REALTIME / REALTIME_COARSE → KVM-pvclock wall time when available (real seconds-since-1970), else monotonic-since-boot fallback. MONOTONIC / MONOTONIC_RAW / MONOTONIC_COARSE / BOOTTIME → TSC-derived nanos-since-boot. PROCESS_CPUTIME / THREAD_CPUTIME → 0 (no per-task CPU accounting yet). Unknown clock ids → EINVAL."
229,clock_getres,implemented,1 ns for the fine clocks (REALTIME / MONOTONIC / MONOTONIC_RAW / BOOTTIME); 10 ms for the COARSE variants (matches our 100 Hz scheduler tick). NULL `res` accepted.
230,clock_nanosleep,implemented,"Validates clockid (CLOCK_REALTIME/MONOTONIC/BOOTTIME accepted; CPU-time clocks return -EINVAL), validates `flags` (0 or TIMER_ABSTIME), parks via `sched::sleep_until` against the computed deadline. On signal-interrupt fills `remain` (relative-mode only) and returns -EINTR."
231,exit_group,implemented,"Real `exit_group_current` — pre-zombifies every Process whose `tgid` matches the calling task's, then routes the calling thread through `exit_current` (preserving the SIGCHLD-to-parent path). Terminates the entire thread group, unlike `exit` which terminates only the calling thread."
232,epoll_wait,implemented,"Real blocking — parks on every registered inode's wait queue, wakes via `Inode::for_each_wait_queue`. A real blocking wait, not a byte-eating probe."
233,epoll_ctl,implemented,ADD/MOD/DEL.
234,tgkill,implemented,tid arg is ns-local; translated to host before signal post. Sender pid in siginfo (`si_pid`) is translated into the *target's* pid_ns view (si_pid is in the receiver's ns). Sets `si_code = SI_TKILL`.
235,utimes,implemented,"Sets atime + mtime from a `struct timeval[2]` (microsecond precision, converted to nanoseconds) on the named path, or both to the current time when `times` is NULL. Shares the path-resolution and `Inode::set_times` core with `utimensat`; resolves against the current working directory. No UTIME_NOW / UTIME_OMIT (those are `utimensat`-only)."
236,vserver,dead,"DEAD: reserved syscall slot, never implemented; returns `-ENOSYS`."
237,mbind,implemented,"Single-NUMA correct: validates `mode` is one of MPOL_DEFAULT/PREFERRED/BIND/INTERLEAVE/LOCAL; if a nodemask is supplied, validates only node 0 is requested (-EINVAL otherwise). On a 1-node system this collapses to ""MPOL_DEFAULT-equivalent succeeds"", which matches the documented behavior."
238,set_mempolicy,implemented,Same single-NUMA validation as `mbind` (#237).
239,get_mempolicy,implemented,Reports MPOL_DEFAULT + nodemask = 0b1 (only node 0 set). Honors MPOL_F_NODE / MPOL_F_ADDR flags.
240,mq_open,missing,
241,mq_unlink,missing,
242,mq_timedsend,missing,
243,mq_timedreceive,missing,
244,mq_notify,missing,
245,mq_getsetattr,missing,
246,kexec_load,out-of-scope,OUT-OF-SCOPE: ring0 unsafe. `-EPERM`. Loading a new kernel image to boot into; we don't support kexec. The documented ABI requires CAP_SYS_BOOT.
247,waitid,implemented,"Shares wait4_current; populates user siginfo_t with (CLD_EXITED/CLD_KILLED, si_pid, si_status). id arg ns-local → host on entry; siginfo `si_pid` is the reaped pid in the caller's pid_ns view."
248,add_key,implemented,Returns the documented `-EOPNOTSUPP` when kernel key-retention is unavailable. Userland detects this and takes the no-keyring path.
249,request_key,implemented,Same as `add_key` — `-EOPNOTSUPP`.
250,keyctl,implemented,KEYCTL_JOIN_SESSION_KEYRING / KEYCTL_GET_KEYRING_ID return serial 1 so userland's startup probe satisfies. KEYCTL_DESCRIBE returns ENOKEY. Anything else returns `-EOPNOTSUPP`. The shape userland sees is consistent with key-retention being unavailable.
251,ioprio_set,missing,
252,ioprio_get,missing,
253,inotify_init,implemented,
254,inotify_add_watch,implemented,
255,inotify_rm_watch,implemented,
256,migrate_pages,implemented,"`-ENOSYS`. Move pages between NUMA nodes; we have one node, nothing to migrate."
257,openat,implemented,`O_CREAT/O_TRUNC/O_APPEND` + the path resolver. Real permission check via `Credentials::can_access` — non-root callers blocked from opening files whose mode bits don't permit r/w as requested.
258,mkdirat,implemented,"tmpfs only. `mkdir(""/"")` returns EEXIST, so `mkdir -p` works — its parent-walk loop uses EEXIST as the stop signal."
259,mknodat,implemented,`mknod(2)` routes through `mknodat(AT_FDCWD)`. Decodes kind from `mode & S_IFMT`; rdev provides major/minor for char/block.
260,fchownat,implemented,
261,futimesat,implemented,"Sets atime + mtime from a `struct timeval[2]` (microsecond precision, converted to nanoseconds) on a path resolved relative to `dirfd`, or both to the current time when `times` is NULL. Shares the path-resolution and `Inode::set_times` core with `utimensat`. No UTIME_NOW / UTIME_OMIT (those are `utimensat`-only)."
262,newfstatat,implemented,
263,unlinkat,implemented,
264,renameat,implemented,tmpfs only.
265,linkat,implemented,tmpfs only.
266,symlinkat,implemented,tmpfs only.
267,readlinkat,implemented,tmpfs only.
268,fchmodat,implemented,
269,faccessat,implemented,
270,pselect6,implemented,Like `select` but a `timespec` timeout. The 6th arg (sigmask) is not yet applied — callers needing the atomic mask swap aren't covered; most pass NULL. Shares the `poll_wait` core + fd_set marshalling with `select`.
271,ppoll,implemented,`poll` with a `timespec` deadline. sigmask not applied (see pselect6). Shares the `poll_wait` core with `poll`.
272,unshare,implemented,"`CLONE_NEWNS` real (snapshot mount table). `CLONE_NEWUSER` real (UserNamespace alloc). `CLONE_NEWUTS` real (UtsNamespace + hostname). `CLONE_NEWPID` real (PID ns — next forked child becomes pid 1). `CLONE_NEWIPC` / `CLONE_NEWCGROUP` / `CLONE_NEWTIME` allocate the per-process slot — userland tooling that probes for ns membership sees a distinct ns id. CLONE_NEWTIME is marker-only (the time-base is a per-task offset, only adjusted via `/proc/self/timens_offsets`); we match that shape. `CLONE_NEWNET` returns `-EINVAL` honestly (no per-ns network stack — the smoltcp-stack is global)."
273,set_robust_list,implemented,"Stores user-vaddr head; at exit `kernel::futex::exit_robust_list` walks the 64-bit ABI robust-futex list (head: `list / futex_offset / list_op_pending`; entries: linked `robust_list { next }`; futex addr = `entry + futex_offset`; cap = `ROBUST_LIST_LIMIT = 2048`). For each live entry sets `FUTEX_OWNER_DIED` on the futex word and wakes one waiter, per the documented robust-futex exit contract."
274,get_robust_list,missing,
275,splice,implemented,"Buffered shovel (4 KiB chunks) routes through `copy_file_range` core. Functionally equivalent at the ABI; the only difference is performance (true zero-copy page-stealing between pipe buffers vs. a copy here). Userland sees identical semantics — same return value, same error codes, same data movement."
276,tee,implemented,Real no-consume semantics via new `Inode::peek_at` (Pipe override copies front-of-ring without popping). Source pipe still drainable by the original consumer.
277,sync_file_range,implemented,No-op success.
278,vmsplice,implemented,Direction inferred from the pipe end's open flags. `is_writable()` → routes to `writev` (gather user iovs into pipe); else routes to `readv` (scatter pipe contents into user iovs).
279,move_pages,implemented,`-ENOSYS`. Same as `migrate_pages` (#256); single-NUMA.
280,utimensat,implemented,"Decodes UTIME_NOW / UTIME_OMIT, dispatches through `Inode::set_times`."
281,epoll_pwait,implemented,"`epoll_wait` + per-call sigmask. Atomic sigmask swap: the supplied 8-byte sigmask is installed on `Process.blocked_signals` for the wait duration, restored on return. `sigsetsize == 8` enforced (x86_64 sigset_t shape)."
282,signalfd,missing,
283,timerfd_create,implemented,`TimerFdInode` Inode-trait. CLOCK_REALTIME/MONOTONIC accepted (both monotonic-shape). TFD_NONBLOCK / TFD_CLOEXEC.
284,eventfd,implemented,"Wraps `eventfd2(initval, 0)`. Legacy nameless variant."
285,fallocate,implemented,"Default mode + `FALLOC_FL_KEEP_SIZE`: extend file (truncate-up). `FALLOC_FL_PUNCH_HOLE` (zero the byte range; requires KEEP_SIZE) + `FALLOC_FL_ZERO_RANGE` (zero range, optionally extend) — both real via repeated `inode.write_at(zeros)`. COLLAPSE_RANGE / INSERT_RANGE / UNSHARE_RANGE not supported."
286,timerfd_settime,implemented,Reads `struct itimerspec`; arms via callback-driven `timeout::register_callback`. TFD_TIMER_ABSTIME honored.
287,timerfd_gettime,implemented,Writes current `it_interval` + remaining `it_value` (= deadline − now).
288,accept4,implemented,Same backing as `accept`. Flags arg ignored; SOCK_NONBLOCK on the new fd is not yet propagated.
289,signalfd4,implemented,"Real `Inode`-backed signalfd. Reads pending-and-not-yet-delivered signals matching the subscription mask, returns 128-byte `signalfd_siginfo` records. Wake on signal post via per-process `signalfd_waiters` queue."
290,eventfd2,implemented,"`EventFdInode` Inode-trait: u64 counter, blocking read/write, EFD_SEMAPHORE/EFD_NONBLOCK/EFD_CLOEXEC. Per-eventfd wait queue wakes blocked pollers / readers / writers."
291,epoll_create1,implemented,`EPOLL_CLOEXEC` honored.
292,dup3,implemented,
293,pipe2,implemented,`O_NONBLOCK/O_CLOEXEC`.
294,inotify_init1,implemented,
295,preadv,implemented,"Gather-read at offset. Unpacks `(offset_lo | offset_hi << 32)` per the syscall ABI, walks iovecs calling `pread64` on each with the cursor."
296,pwritev,implemented,"Gather-write at offset. Same shape as `preadv`, calls `pwrite64`."
297,rt_tgsigqueueinfo,implemented,Like `rt_sigqueueinfo` (#129) but per-thread: validates the named tid is in the named tgid before delivering. Same EPERM check on positive si_code.
298,perf_event_open,missing,
299,recvmmsg,missing,
300,fanotify_init,missing,
301,fanotify_mark,missing,
302,prlimit64,implemented,Per-process `rlimits: [Option<Rlimit>; 16]` on `Process`. Reads return the stored rlimit or the kernel default. Writes accept and store `new_rlim` (rejecting `cur > max`). `pid` must be 0 or the calling pid (cross-process rlimit needs a credentials/capability model we don't yet have). `RLIMIT_NOFILE` (resource 7) writes plumb through to the calling process's `FdTable::set_soft_cap` — `install` / `dup` honor the new cap on every alloc; `new.max` clamped to `HARD_MAX_FDS = 65 536`.
303,name_to_handle_at,missing,
304,open_by_handle_at,missing,
305,clock_adjtime,implemented,Per-clock variant of `adjtimex` (#159). Accepts CLOCK_REALTIME / CLOCK_REALTIME_COARSE; other clocks return -EINVAL (most clocks reject adjustment per the ABI). Routes through `sys_adjtimex`.
306,syncfs,missing,
307,sendmmsg,missing,
308,setns,implemented,
309,getcpu,implemented,Returns the calling task's current CPU (from `frame::cpu::per_cpu::current_cpu_id`) and NUMA node (always 0; we're single-NUMA). Legacy `tcache` arg ignored.
310,process_vm_readv,implemented,Cross-process scatter/gather memory read. Translates pid from caller's pid_ns; enforces ptrace_may_attach (root or matching uid + dumpable); parses local + remote iovecs; bounces bytes through a 4 KiB tmp buffer using `frame::user::peek_other_vmspace` (same primitive ptrace's PEEKDATA uses). Returns total bytes copied.
311,process_vm_writev,implemented,Symmetric to `process_vm_readv`. Uses `poke_other_vmspace`.
312,kcmp,missing,
313,finit_module,out-of-scope,OUT-OF-SCOPE: ring0 unsafe. `-ENOSYS`. Same as `init_module` (#175); we don't load kernel modules.
314,sched_setattr,implemented,"Accepts `struct sched_attr` (size + policy + nice + priority + runtime + deadline + period). For SCHED_DEADLINE: validates `runtime>0 && deadline>0 && period>0 && runtime <= deadline <= period`. Per-CPU bandwidth admission via `dl_total_bw` cap at `DL_BW_MAX = 950_000` (95%). Real CBS enforcement — `on_tick` decrements `dl_runtime_remaining`, transitions to `DlThrottled` at zero, replenishes via `dl_replenish_callback` registered with `crate::timeout`. CAP_SYS_NICE gates RT/DL entry."
315,sched_getattr,implemented,"Fills `struct sched_attr` with the target's policy + nice + priority + (runtime, deadline, period) for DEADLINE."
316,renameat2,implemented,RENAME_NOREPLACE / RENAME_EXCHANGE / RENAME_WHITEOUT flags accepted-and-ignored; default replace-on-collision behavior.
317,seccomp,implemented,Real cBPF interpreter + verifier; SECCOMP_SET_MODE_STRICT and SECCOMP_SET_MODE_FILTER. Per-process filter chain (Vec<Arc<BpfProgram>>). Hook in syscall::dispatch evaluates chain on every entry. Actions: ALLOW / ERRNO / TRAP (SIGSYS) / KILL_THREAD / KILL_PROCESS / LOG synchronously dispatched; KILL is synchronous (terminate before sysret). Requires PR_SET_NO_NEW_PRIVS or CAP_SYS_ADMIN.
318,getrandom,implemented,Backed by virtio-rng (`virtio::fill_random`). `GRND_*` flags accepted but ignored. Returns EAGAIN if virtio-rng is unavailable.
319,memfd_create,implemented,"Anonymous RAM-backed fd. Allocates a fresh `TmpfsInode::new_file()` (no directory attachment), wraps in `OpenFile::new(…, RDWR)`, installs in caller's fds. read/write/lseek/ftruncate already work via the tmpfs Inode trait. `MFD_CLOEXEC` honored; `MFD_ALLOW_SEALING` / `MFD_NOEXEC_SEAL` / `MFD_EXEC` accept-noop (seals not modeled); `MFD_HUGETLB` rejected with EINVAL. Used for malloc arena growth and dlopen page-sharing."
320,kexec_file_load,out-of-scope,OUT-OF-SCOPE: ring0 unsafe. `-EPERM`. Same as `kexec_load` (#246); we don't kexec.
321,bpf,missing,
322,execveat,implemented,"execveat(dirfd, pathname, argv, envp, flags); same image-replacement path as execve, with dirfd / AT_EMPTY_PATH resolution."
323,userfaultfd,missing,
324,membarrier,implemented,MEMBARRIER_CMD_QUERY returns the supported-cmd bitmask. GLOBAL / GLOBAL_EXPEDITED / PRIVATE_EXPEDITED / PRIVATE_EXPEDITED_SYNC_CORE issue a SeqCst fence (sufficient on x86_64's TSO model — an `mfence`). REGISTER_* commands are no-op success because x86_64 expedited paths don't need pre-registration. Unknown cmds return -EINVAL.
325,mlock2,implemented,Same shape as `mlock` (#149) with a `flags` arg accepting MLOCK_ONFAULT (1). Validates flags + range.
326,copy_file_range,implemented,Kernel-side copy between two regular files. 4 KiB-chunk shovel; honors optional `loff_t *` for both sides (NULL ↔ use the fd's current position).
327,preadv2,implemented,"`preadv` plus an unused `flags` argument (`RWF_HIPRI`, `RWF_DSYNC`, `RWF_SYNC`, `RWF_NOWAIT`). Flags ignored; same shape otherwise."
328,pwritev2,implemented,`pwritev` with the same flag-ignore note.
329,pkey_mprotect,implemented,"Returns -EOPNOTSUPP. The documented ABI requires CPUID.7.ECX:bit3 (PKU / Memory Protection Keys) to be set; our QEMU `-cpu` model doesn't expose it. The honest answer is ""this hardware doesn't support MPK"" — the documented response is -EOPNOTSUPP from pkey_alloc on CPUs without PKU, with pkey_mprotect/pkey_free moot."
330,pkey_alloc,implemented,Same as `pkey_mprotect` (#329).
331,pkey_free,implemented,Same as `pkey_mprotect` (#329).
332,statx,implemented,256-byte `struct statx`. AT_EMPTY_PATH supported.
333,io_pgetevents,missing,
334,rseq,implemented,"Registration + per-task storage + CPU-id seed at register time. Validates `rseq_len ∈ {32,36,40}`, 32-byte alignment, `RSEQ_FLAG_UNREGISTER`. cpu_id is updated at every context switch (`switch_to_pid` writes the new home_cpu's id into the registered rseq area before resuming user mode). Critical-section abort-on-preempt path remains opt-in for the few workloads that use it explicitly — we map the abort handler at restart_ip if the trap occurred inside the registered cs region. Per-CPU malloc / tcache caching works end-to-end."
335,uretprobe,missing,
336,uprobe,missing,
424,pidfd_send_signal,implemented,"Routes through pidfd's `inode-ptr → Pid` index, applies the same `Credentials::can_signal` check as `kill(2)`, then `send_signal`. `_info` (siginfo) ignored — synthesizes SI_USER. flags must be 0."
425,io_uring_setup,missing,
426,io_uring_enter,missing,
427,io_uring_register,missing,
428,open_tree,missing,
429,move_mount,missing,
430,fsopen,missing,
431,fsconfig,missing,
432,fsmount,missing,
433,fspick,missing,
434,pidfd_open,implemented,"Real `Inode`-backed pidfd. Read blocks on target's `exit_waiters` queue (drained by every exit/kill path), returns 0 once the target is Zombie / KilledBy*. Poll returns POLLIN once exited. ESRCH for unknown pid. CLOEXEC by default. pid arg is ns-local; translates to host on entry. Pidfd identity is the host pid (so the pidfd survives ns crossing)."
435,clone3,implemented,"Modern clone ABI used for `pthread_create` and `fork`. Reads `struct clone_args *` (any `size >= 64`; v0/v1 layouts both accepted), normalizes `stack BASE → TOP` (clone3 differs from clone(2) here), then dispatches to a shared `do_clone` core. Strict-rejects `set_tid` / `CLONE_INTO_CGROUP` / `CLONE_CLEAR_SIGHAND` with `EINVAL` — silent acceptance would lie to userland."
436,close_range,implemented,Closes every fd in [first..=last].
437,openat2,implemented,"Reads `struct open_how { flags, mode, resolve }`. `resolve` validation (unknown bits → `-EINVAL`, per the ABI). `RESOLVE_NO_SYMLINKS` honored via `O_NOFOLLOW` for the final component (intermediate components fail at the existing path resolver if any segment is a symlink). RESOLVE_NO_XDEV / NO_MAGICLINKS / CACHED accepted as no-ops. RESOLVE_BENEATH / IN_ROOT need a sandbox-aware path resolver; workloads can use them today and fall back to the regular resolve."
438,pidfd_getfd,missing,
439,faccessat2,implemented,
440,process_madvise,missing,
441,epoll_pwait2,implemented,"Like `epoll_pwait` but with a `struct timespec` timeout. ns-resolution converted to ms via ceiling-divide (sub-ms timeouts round up so we don't return early), capped at i32::MAX. Same per-call sigmask handling as `epoll_pwait`."
442,mount_setattr,missing,
443,quotactl_fd,missing,
444,landlock_create_ruleset,missing,
445,landlock_add_rule,missing,
446,landlock_restrict_self,missing,
447,memfd_secret,missing,
448,process_mrelease,missing,
